Set 1: 216475, 225245, 244136, 259719, 277371, 295105
Set 2: 215951, 221048, 221873, 246690, 256750, 278142
Set 3: 201492, 226504, 235031, 238114, 238541, 258751
Set 4: 203017, 213313, 224990, 252643, 268789, 281170
Set 5: 224593, 232107, 250082, 254563, 268596, 285764
Set 6: 214327, 233596, 240997, 259772, 276902, 299553
Set 7: 201916, 212690, 214614, 218008, 233895, 281146
Set 8: 222804, 231379, 232805, 234739, 252396, 292379
Set 9: 222637, 232925, 259164, 276132, 295820, 296215
Set 10: 207763, 216386, 220377, 223416, 242108, 265471
Set 11: 203097, 228417, 268541, 274807, 286552, 289943
Set 12: 233904, 240090, 260285, 274139, 282389, 289996
Set 13: 215389, 221291, 255395, 281011, 298669, 299853
Set 14: 208561, 216227, 221411, 236209, 238038, 294516
Set 15: 202009, 206748, 234557, 244069, 246648, 246920
Set 16: 206314, 278800, 279614, 291566, 293346, 295367
Set 17: 205467, 226493, 257557, 259972, 288919, 291154
Set 18: 203168, 208765, 260173, 263320, 269104, 269576
Set 19: 237086, 242309, 267740, 268413, 284043, 293705
Set 20: 206045, 221780, 222414, 273180, 273629, 297328
Set 21: 208994, 224119, 225131, 248058, 255615, 265682
Set 22: 205655, 240869, 248327, 282472, 282899, 283478
Set 23: 208752, 236763, 243962, 263665, 273153, 287753
Set 24: 215118, 221336, 225435, 242920, 257833, 295863





Marder 1A2 - 2./212
Set 27: 205450, 219938, 222592, 227205, 268725, 273472
Set 28: 210108, 243220, 247174, 268582, 285399, 286880

Marder 1A2 - 5./212
Set 25: 220602, 220817, 240160, 245377, 248910, 271922
Set 26: 217409, 223048, 247808, 248660, 271013, 289682

Leoaprd 1A5A1 - 2./203
Set 29: 218704, 223329, 230558, 275542, 275696, 288449
Set 30: 213986, 215761, 233805, 245002, 250405, 297005
